image,x,y,outer_radius,color,state,notes
hpma_f000690_t011.500.png,688,950,88,unknown,shrinking,
hpma_f000690_t011.500.png,1792,958,86,unknown,shrinking,
hpma_f000720_t012.000.png,688,954,91,unknown,shrinking,
hpma_f000720_t012.000.png,1782,948,88,unknown,shrinking,
hpma_f000750_t012.500.png,1528,856,83,unknown,shrinking,
hpma_f000750_t012.500.png,1526,626,85,unknown,shrinking,
hpma_f000750_t012.500.png,1522,404,88,unknown,shrinking,
hpma_f000780_t013.000.png,1240,760,86,unknown,shrinking,
hpma_f000780_t013.000.png,1234,532,91,unknown,shrinking,
hpma_f000780_t013.000.png,1532,404,88,unknown,shrinking,
hpma_f000810_t013.500.png,950,892,85,unknown,shrinking,
hpma_f000810_t013.500.png,950,654,82,unknown,shrinking,
hpma_f000810_t013.500.png,1238,760,89,unknown,shrinking,
hpma_f000810_t013.500.png,686,664,87,unknown,shrinking,
hpma_f000810_t013.500.png,684,436,92,unknown,shrinking,
hpma_f000810_t013.500.png,1788,662,88,unknown,shrinking,
hpma_f000810_t013.500.png,1782,436,88,unknown,shrinking,
hpma_f000840_t014.000.png,692,658,91,unknown,shrinking,
hpma_f000840_t014.000.png,688,434,85,unknown,shrinking,
hpma_f000840_t014.000.png,1788,670,93,unknown,shrinking,
hpma_f000840_t014.000.png,1778,434,86,unknown,shrinking,
hpma_f000870_t014.500.png,688,666,89,unknown,shrinking,
hpma_f000870_t014.500.png,1786,666,90,unknown,shrinking,
hpma_f000870_t014.500.png,1786,958,90,unknown,shrinking,
hpma_f000870_t014.500.png,686,954,90,unknown,shrinking,
hpma_f000900_t015.000.png,686,960,91,unknown,shrinking,
hpma_f000900_t015.000.png,1786,956,90,unknown,shrinking,
hpma_f000900_t015.000.png,1234,794,92,unknown,shrinking,
hpma_f000930_t015.500.png,1240,794,89,unknown,shrinking,
hpma_f000930_t015.500.png,1238,566,84,unknown,shrinking,
hpma_f000960_t016.000.png,1236,564,95,unknown,shrinking,
hpma_f000960_t016.000.png,1238,794,89,unknown,shrinking,
hpma_f000990_t016.500.png,980,438,86,unknown,shrinking,
hpma_f000990_t016.500.png,972,568,89,unknown,shrinking,
hpma_f000990_t016.500.png,976,702,86,unknown,shrinking,
hpma_f000990_t016.500.png,1496,436,86,unknown,shrinking,
hpma_f000990_t016.500.png,1490,566,93,unknown,shrinking,
hpma_f000990_t016.500.png,1494,694,88,unknown,shrinking,
hpma_f001020_t017.000.png,976,562,90,unknown,shrinking,
hpma_f001020_t017.000.png,976,698,95,unknown,shrinking,
hpma_f001020_t017.000.png,688,726,85,unknown,shrinking,
hpma_f001020_t017.000.png,688,960,90,unknown,shrinking,
hpma_f001020_t017.000.png,1782,728,84,unknown,shrinking,
hpma_f001020_t017.000.png,1784,960,92,unknown,shrinking,
hpma_f001020_t017.000.png,1490,558,81,unknown,shrinking,
hpma_f001020_t017.000.png,1494,698,87,unknown,shrinking,
hpma_f001050_t017.500.png,688,726,90,unknown,shrinking,
hpma_f001050_t017.500.png,688,952,93,unknown,shrinking,
hpma_f001050_t017.500.png,1784,734,93,unknown,shrinking,
hpma_f001050_t017.500.png,1786,956,90,unknown,shrinking,
hpma_f001080_t018.000.png,690,730,92,unknown,shrinking,
hpma_f001080_t018.000.png,1788,730,86,unknown,shrinking,
hpma_f001080_t018.000.png,1786,408,89,unknown,shrinking,
hpma_f001080_t018.000.png,688,404,94,unknown,shrinking,
hpma_f001110_t018.500.png,688,404,90,unknown,shrinking,
hpma_f001110_t018.500.png,944,538,91,unknown,shrinking,
hpma_f001110_t018.500.png,1786,408,91,unknown,shrinking,
hpma_f001140_t019.000.png,950,532,85,unknown,shrinking,
hpma_f001140_t019.000.png,946,762,94,unknown,shrinking,
hpma_f001140_t019.000.png,946,992,83,unknown,shrinking,
hpma_f001140_t019.000.png,1238,858,88,unknown,shrinking,
hpma_f001170_t019.500.png,946,762,91,unknown,shrinking,
hpma_f001170_t019.500.png,948,982,82,unknown,shrinking,
hpma_f001170_t019.500.png,1238,858,90,unknown,shrinking,
hpma_f001170_t019.500.png,1236,628,90,unknown,shrinking,
hpma_f001170_t019.500.png,1530,506,92,unknown,shrinking,
hpma_f001200_t020.000.png,1238,858,93,unknown,shrinking,
hpma_f001200_t020.000.png,1234,630,89,unknown,shrinking,
hpma_f001200_t020.000.png,1528,510,83,unknown,shrinking,
hpma_f001200_t020.000.png,1516,734,84,unknown,shrinking,
hpma_f001230_t020.500.png,1526,732,85,unknown,shrinking,
hpma_f001230_t020.500.png,1822,960,90,unknown,shrinking,
hpma_f001230_t020.500.png,1818,728,92,unknown,shrinking,
hpma_f001230_t020.500.png,1530,508,92,unknown,shrinking,
hpma_f001230_t020.500.png,658,962,88,unknown,shrinking,
hpma_f001230_t020.500.png,658,728,94,unknown,shrinking,
hpma_f001260_t021.000.png,656,728,86,unknown,shrinking,
hpma_f001260_t021.000.png,654,952,91,unknown,shrinking,
hpma_f001260_t021.000.png,1822,728,86,unknown,shrinking,
hpma_f001260_t021.000.png,1814,956,91,unknown,shrinking,
hpma_f001290_t021.500.png,656,408,94,unknown,shrinking,
hpma_f001290_t021.500.png,1816,408,88,unknown,shrinking,
hpma_f001320_t022.000.png,652,408,85,unknown,shrinking,
hpma_f001320_t022.000.png,1238,536,96,unknown,shrinking,
hpma_f001320_t022.000.png,1236,760,95,unknown,shrinking,
hpma_f001320_t022.000.png,1816,400,89,unknown,shrinking,
hpma_f001350_t022.500.png,1234,536,92,unknown,shrinking,
hpma_f001350_t022.500.png,1234,758,86,unknown,shrinking,
hpma_f001350_t022.500.png,976,952,87,unknown,shrinking,
hpma_f001350_t022.500.png,1494,948,88,unknown,shrinking,
hpma_f001380_t023.000.png,1234,758,94,unknown,shrinking,
hpma_f001380_t023.000.png,970,960,85,unknown,shrinking,
hpma_f001380_t023.000.png,976,834,83,unknown,shrinking,
hpma_f001380_t023.000.png,976,690,82,unknown,shrinking,
hpma_f001380_t023.000.png,972,570,87,unknown,shrinking,
hpma_f001380_t023.000.png,1490,562,84,unknown,shrinking,
hpma_f001380_t023.000.png,1496,712,90,unknown,shrinking,
hpma_f001380_t023.000.png,1496,824,79,unknown,shrinking,
hpma_f001380_t023.000.png,1498,956,87,unknown,shrinking,
